year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2017,永和,90826,224086,0.9054931972789116,5.7138,38956,713,864,2.4672010217338647,-151,-1501,223335.5,-0.0067208303203028,5.76
2017,汐止,86040,197877,0.9544179523141656,71.2354,2798,724,645,2.2998256624825664,79,1444,198599.0,0.0072709328848584,5.857909185
2017,泰山,28238,78839,0.9887745320619544,19.1603,4118,234,246,2.791947021743749,-12,72,78875.0,0.0009128367670364,5.61726517
2017,淡水,72613,166063,0.9256806901989888,70.6565,2400,622,458,2.2869596353270074,164,3534,167830.0,0.0210570219865339,6.238035317
2017,深坑,9537,23667,1.002114880297775,20.5787,1150,84,80,2.481597986788298,4,-7,23663.5,-0.0002958142286643,5.23836681241155
2017,烏來,1860,6225,0.975563313233894,321.1306,20,19,24,3.346774193548387,-5,95,6272.5,0.0151454762853726,5.7
2017,瑞芳,16157,40581,1.0219730941704035,70.7336,570,109,127,2.5116667698211304,-18,-228,40467.0,-0.0056342204759433,5.632898101
2017,石碇,3364,7735,1.2227011494252873,144.3498,53,12,31,2.299346016646849,-19,-52,7709.0,-0.0067453625632377,3.89130293793372
2017,石門,4301,12481,1.0722231446123194,51.2645,240,19,38,2.901883282957452,-19,-195,12383.5,-0.0157467598013485,4.519409249
2017,萬華,78519,193415,0.9682198862306526,8.8522,21673,8471,10404,2.4632891402081025,-1933,-1565,192632.5,-0.0081242780942987,6.21
